smile_ratio,times
2.061,2025-06-27 12:17:34.178627
1.885,2025-06-27 12:17:35.348034
11.842,2025-06-27 12:17:41.086073
1.817,2025-06-27 12:17:41.589826
1.937,2025-06-27 12:17:41.688096
1.957,2025-06-27 12:17:41.791776
1.993,2025-06-27 12:17:41.891071
2.266,2025-06-27 12:17:41.990664
2.195,2025-06-27 12:17:42.089359
1.972,2025-06-27 12:17:42.193773
1.973,2025-06-27 12:17:42.295701
2.022,2025-06-27 12:17:42.394298
2.0,2025-06-27 12:17:42.495013
2.132,2025-06-27 12:17:42.594672
2.237,2025-06-27 12:17:42.695963
2.218,2025-06-27 12:17:42.796648
2.211,2025-06-27 12:17:42.894887
2.157,2025-06-27 12:17:42.996675
1.986,2025-06-27 12:17:43.093558
2.229,2025-06-27 12:17:43.197384
2.125,2025-06-27 12:17:43.292887
2.096,2025-06-27 12:17:43.396170
2.086,2025-06-27 12:17:43.493825
1.902,2025-06-27 12:17:43.600639
1.863,2025-06-27 12:17:43.895713
1.933,2025-06-27 12:17:44.094235
1.919,2025-06-27 12:17:44.196513
1.841,2025-06-27 12:17:44.561736
1.952,2025-06-27 12:17:44.662226
1.814,2025-06-27 12:17:46.157407
1.829,2025-06-27 12:17:46.261225
1.978,2025-06-27 12:17:46.357413
1.843,2025-06-27 12:17:46.458964
1.97,2025-06-27 12:17:46.557309
1.92,2025-06-27 12:17:46.658544
1.949,2025-06-27 12:17:46.759234
1.97,2025-06-27 12:17:46.861160
1.894,2025-06-27 12:17:46.958058
1.88,2025-06-27 12:17:47.062564
1.812,2025-06-27 12:17:47.159728
2.037,2025-06-27 12:17:47.261270
1.904,2025-06-27 12:17:47.360875
2.029,2025-06-27 12:17:47.461772
2.167,2025-06-27 12:17:47.558697
2.007,2025-06-27 12:17:47.661373
1.971,2025-06-27 12:17:47.761266
2.0,2025-06-27 12:17:47.859633
1.928,2025-06-27 12:17:47.960114
1.846,2025-06-27 12:17:48.062706
1.804,2025-06-27 12:17:48.160549
1.929,2025-06-27 12:17:48.361220
1.891,2025-06-27 12:17:48.461495
1.877,2025-06-27 12:17:48.926768
1.834,2025-06-27 12:17:49.228213
2.208,2025-06-27 12:17:49.464499
2.051,2025-06-27 12:17:49.561395
2.015,2025-06-27 12:17:49.662935
2.015,2025-06-27 12:17:49.760884
2.029,2025-06-27 12:17:49.863087
2.058,2025-06-27 12:17:49.959841
2.098,2025-06-27 12:17:50.062890
2.32,2025-06-27 12:17:50.163515
2.311,2025-06-27 12:17:50.264087
2.311,2025-06-27 12:17:50.360535
2.478,2025-06-27 12:17:50.460239
2.14,2025-06-27 12:17:50.558220
2.163,2025-06-27 12:17:50.660209
2.147,2025-06-27 12:17:50.760390
2.526,2025-06-27 12:17:50.860847
2.369,2025-06-27 12:17:50.957945
2.333,2025-06-27 12:17:51.061018
2.535,2025-06-27 12:17:51.158186
1.985,2025-06-27 12:17:51.261322
2.008,2025-06-27 12:17:51.363360
2.439,2025-06-27 12:17:52.426358
2.437,2025-06-27 12:17:52.599131
2.233,2025-06-27 12:17:52.764135
2.043,2025-06-27 12:17:52.868023
1.901,2025-06-27 12:17:52.964669
2.163,2025-06-27 12:17:55.197520
2.203,2025-06-27 12:17:55.295022
2.214,2025-06-27 12:17:55.395585
2.361,2025-06-27 12:17:55.495544
2.065,2025-06-27 12:17:55.598580
2.203,2025-06-27 12:17:55.696912
2.098,2025-06-27 12:17:55.795798
1.952,2025-06-27 12:17:55.961184
2.309,2025-06-27 12:17:56.067439
2.25,2025-06-27 12:17:56.167744
2.339,2025-06-27 12:17:56.267285
2.144,2025-06-27 12:17:56.431413
2.008,2025-06-27 12:17:56.533262
1.947,2025-06-27 12:17:56.630394
1.904,2025-06-27 12:17:56.730835
